,shopid,itemid,rating_star,cmt,Sentiment,Predicted Sentiment,B,G,N,Score
0,4937640,18982557,4,The thing came on time however it was broken tho..quite dissapointed,B,B,0.520392564868,0.277532863972,0.20207457116,-0.24
1,4149345,195378126,3," Product quality is ok Delivery time as expected , but this lipstick obviously stains straws/cup and etc...",G,G,0.209019404462,0.527987271114,0.262993324425,0.32
2,4937640,40486732,1,"Delivered as a defect item, with chipped end. ",B,B,0.522511393647,0.317197934913,0.16029067144,-0.21
3,4937640,16804582,4,"Delivery and seller, good. Product is ok? It's quite oily and not that easy to blend",G,G,0.0583754714604,0.712661194926,0.228963333614,0.65
4,4149345,14482633,5,Trusted seller ,G,G,0.239643940559,0.458616324301,0.30173973514,0.22
5,4149345,13434358,0,Where's it made in?,N,N,0.213998419396,0.231153578484,0.554848002121,0.02
6,4149345,42089797,5,"Same as photo,but wire got yellowish,box look really old ,and packing not good,box crush.",B,B,0.527655064473,0.310328496954,0.162016438574,-0.22
7,4937640,43305088,4,Got about 96 pieces in total but fair enough for a cheap price ,G,G,0.288248281831,0.538550061177,0.173201656992,0.25
8,4149345,60228536,3, Product quality is ok,G,G,0.0454895968932,0.848255058326,0.10625534478,0.8
9,4149345,16431297,3,Not compatible with Xbox OG,G,N,0.247683377621,0.265433045658,0.486883576722,0.02
10,4149345,46508803,5,It works well! Item came earlier than xpected date.. 👍😄,G,G,0.275824935188,0.533152902186,0.191022162626,0.26
11,4149345,14477372,5,"Smaller than expected but still great. Not sure about the blending, yet to try. ",B,G,0.202626102386,0.570182686207,0.227191211407,0.37
12,4937640,18981664,5,Tested working but yet to try on hair. ,N,N,0.138245983244,0.249204235969,0.612549780788,0.11
13,4149345,14479020,5,Very useful,G,B,0.52902722208,0.394910484685,0.0760622932344,-0.13
14,4149345,49770708,3, Good Value,G,G,0.0105105870927,0.942326133423,0.0471632794841,0.93
15,4937640,265637027,5, Good value for money,G,G,0.0245500709046,0.9421338868,0.0333160422949,0.92
16,4937640,16804701,5,"the 'beauty blender' was really bad it took off product instead of blending it in, should invest in the real one! but the brushegg was amazing, brushes were good staple brushes, conealer was okay it is a balmy texture and moves around unless set w/ powder, best applied w/ fingers!",B,G,0.335040571654,0.527492325943,0.137467102403,0.19
17,4937640,17701309,5, Excellent Value,G,G,0.025191141736,0.93583760633,0.0389712519339,0.91
18,4937640,24088202,5,Didnt expect to be soooo thin..is half the thickness compair to my currect sponge,B,B,0.394312559166,0.232907956014,0.372779484819,-0.16
19,4149345,17709071,0,"hi, i unable to chat with you so i talk through here instead . i need this part in urgent how long will it take ? ",N,N,0.12780871569,0.0897365937757,0.782454690535,-0.04
20,4149345,238809445,4,Quite flimsy,G,B,0.433724378814,0.234343500892,0.331932120295,-0.2
21,4937640,21273230,5,Im happy with the product. Recieved well wrapped.,G,G,0.244070382179,0.544031890959,0.211897726862,0.3
22,4937640,19379090,5, Excellent Value,G,G,0.025191141736,0.93583760633,0.0389712519339,0.91
23,4937640,18982022,1,I ordered an eyebrow but they give me a wrong item,B,G,0.264206101026,0.435124836869,0.300669062105,0.17
24,4149345,16742382,5,Bristles rather soft,B,N,0.324004764197,0.204213944131,0.471781291672,-0.12
25,4937640,104772111,0,"My nail can't dry , even lighting 2min",N,N,0.367483617563,0.249579002314,0.382937380123,-0.12
26,4149345,14481902,5,Bought a couple of items from this seller and received everything! For this item: they're mini sized and cute! More suited for under eye and key areas rather than a full face. ,G,G,0.160457896772,0.542633889195,0.296908214033,0.38
27,4149345,14481479,5,Good to clean home! ,G,G,0.070750449063,0.683426400009,0.245823150928,0.61
28,4149345,14476821,5,"creamy texture, slightly more oily than normal creamy ones but it's only 90 cents for so many colors so pretty worth it",N,N,0.187617170673,0.354396945968,0.457985883358,0.17
29,4937640,98141075,5, Excellent Value,G,G,0.025191141736,0.93583760633,0.0389712519339,0.91
30,4149345,48219737,5, Excellent Item Quality Better than I expected ,G,G,0.149296487989,0.806767688479,0.0439358235314,0.66
31,4937640,98141075,5, Excellent Item Quality,G,G,0.0783745021882,0.906422306174,0.0152031916374,0.83
32,4149345,15719000,5,Tried one of the tools and it works! Was surprised and it's cheap so give it a shot.,G,G,0.108242366125,0.554039769169,0.337717864707,0.45
33,4937640,19346757,1,"Fan is out of shape, no matter how i tried to wash n air dry, its not reversible. Think its better to buy fan brushes at shop as not able to know tht its bristles are really in fan shape or smushed.",B,B,0.443262560699,0.255104858246,0.301632581055,-0.19
34,4937640,51424629,5, Excellent service by seller,G,G,0.0209948778382,0.964359510905,0.0146456112572,0.94
35,4149345,42463218,1," Bad Item Quality

It does not vacuum any dust/dirt on my keyboard and likewise on any other platforms.

Not worth.",B,N,0.376940856164,0.21063280729,0.412426336546,-0.17
36,4149345,54623609,5,Bought a couple of items from this seller and received everything! For this item: they're mini sized and cute! More suited for under eye and key areas rather than a full face. ,G,G,0.160457896772,0.542633889195,0.296908214033,0.38
37,4937640,104304937,5, Excellent Item Quality,G,G,0.0783745021882,0.906422306174,0.0152031916374,0.83
38,4149345,14483252,5,Working gd,G,G,0.16540523267,0.567570278082,0.267024489248,0.4
39,4937640,22564307,3,Ok. Item came in gd condition. Quality is avg,G,G,0.0698747960874,0.823071484076,0.107053719837,0.75
40,4149345,49790515,4,The bag was really nice  but the brown looked more orange than brown,G,G,0.188323430254,0.513508257958,0.298168311788,0.33
41,4149345,14480472,0,The blue color I ordered is not the same as in the picture,N,N,0.134911548934,0.310717713773,0.554370737293,0.18
42,4149345,125165757,3,"Bought a couple of items from this seller and received everything! For this item: I wouldn't recommend buying it because it doesn't really help with the application. The foundation runs because of the silicone surface so i would rather use a blender than this. But hey, just wanted to give it a try!",G,G,0.331475304909,0.482689890567,0.185834804524,0.15
43,4937640,26495113,3,"Not expecting it to be mid size, was expecting really mini for using with concealer. Texture a bit rough n porous. Yet to try.",G,G,0.236130089942,0.564111468089,0.199758441969,0.33
44,4149345,320486087,1," Poor product quality, looks very dirty when opened up ",B,B,0.885191666944,0.0712966617905,0.0435116712655,-0.81
45,4149345,15736209,5,Amplify the mic alot,G,N,0.235035305451,0.380058337667,0.384906356881,0.15
46,4937640,26495143,5,Awesome! Fast and efficient too ,G,G,0.0654401924903,0.816977379008,0.117582428502,0.75
47,4937640,26495062,5,The zipper not very smooth. ,B,B,0.463197215887,0.322320079017,0.214482705096,-0.14
48,4149345,16430598,5,Gd,G,G,0.170012600171,0.484997085406,0.344990314423,0.31
49,4149345,16748447,5,Workin find,N,G,0.241244900912,0.385739289651,0.373015809437,0.14
50,4937640,18984937,2,"definitely not waterproof. i tested on my hand, and run it under water and it just washes off without me having to rub it Poor product quality",B,B,0.549086566364,0.223912430282,0.227001003354,-0.33
51,4937640,18986250,5,Product working but need to test ,N,N,0.170748910091,0.37739664513,0.451854444779,0.21
52,4937640,19356666,5,Brush bristles very soft,B,B,0.446457881488,0.391744054546,0.161798063966,-0.05
53,4149345,17708500,4,Nt the fast charging type,G,G,0.218383405637,0.506706862554,0.274909731809,0.29
54,4149345,17709916,1,"Very disappointed with the item. There is almost no wind unless you put it super close to your face. Expecting it to work. Delivery wise was not a problem, only the item.",B,B,0.54191404453,0.363416493013,0.0946694624579,-0.18
55,4149345,14481633,5,Cheappppp,G,N,0.239261196417,0.379369406597,0.381369396986,0.14
56,4149345,14476821,0,Call feefee 93535360,N,N,0.210074422347,0.223317887297,0.566607690356,0.01
57,4937640,26495147,4,"the bowl is a bit small and the brush is loose. however for the price, u get what u pay for and i think its worth",G,G,0.278126365893,0.38827729861,0.333596335497,0.11
58,4149345,17709916,2,"Wind was v weak even though tried using new batteries ,and as well as using the cable provided:/",B,B,0.615955519439,0.270149395291,0.11389508527,-0.35
59,4149345,14480806,1,2 watches received but 1 not functioning :( ,B,B,0.468634088328,0.359697115984,0.171668795688,-0.11
60,4149345,14486722,0,Can be used for ps4?,N,N,0.239315181758,0.304388372878,0.456296445364,0.07
61,4149345,16430598,5,Cheap and works and worth,N,G,0.0404983768398,0.852349000214,0.107152622946,0.81
62,4149345,16431739,5,Comfortable and true to description ,G,N,0.1654648636,0.378336100509,0.45619903589,0.21
63,4149345,26966776,5,Nice n cheap,G,G,0.0592107586483,0.824795009187,0.115994232165,0.77
64,4149345,16431050,5,Good and cheap. Definitely worth it :),G,G,0.0202079831815,0.916868641367,0.0629233754512,0.9
65,4149345,14480391,5, Excellent service by seller,G,G,0.0209948778382,0.964359510905,0.0146456112572,0.94
66,4149345,13432519,5,Doesn't feel cheap and the sound quality is good. It's just that the volume is very low. ,B,G,0.270054851834,0.660814834193,0.0691303139725,0.39
67,4937640,17705773,4,"Product took awhile to come, but it's pretty worth it for the price",G,G,0.0760269981064,0.701964637698,0.222008364195,0.63
68,4149345,15735423,5,Thx seller,G,G,0.0574564978362,0.898886393004,0.0436571091595,0.84
69,4149345,16432067,5,Damn cheap worth it,G,G,0.0516321685221,0.765900314771,0.182467516707,0.71
70,4937640,35923578,5,The cap not very tight and alittle leak when im using. ,B,B,0.540562239424,0.315012276696,0.144425483881,-0.23
71,4149345,49780104,4,Received in working condition,G,G,0.153699627452,0.788386005069,0.0579143674796,0.63
72,4937640,18985848,5,Very good quality!,G,G,0.0785142441184,0.912410362305,0.00907539357652,0.83
73,4937640,35923681,5,Hvnt use,N,N,0.245252878517,0.301369833158,0.453377288325,0.06
74,4937640,17704072,1,the eyeliner doesnt even work.,B,B,0.539083308245,0.230249564192,0.230667127563,-0.31
75,4937640,22563841,4,"Product took awhile to come, but it was worth it for its price. ",G,G,0.0948988673576,0.760584673527,0.144516459115,0.67
76,4149345,21422189,5,Was expecting to have matchstick but while it still worth the price and it's bigger the I expected,N,G,0.0819513960663,0.762001770764,0.15604683317,0.68
77,4149345,13431702,1,Never received,B,B,0.612730379388,0.236915144269,0.150354476344,-0.38
78,4937640,17705522,3,Not bad..smooth application but pretty drying. ,G,N,0.237574722906,0.380548145322,0.381877131772,0.14
79,4149345,15736347,5,"Glass bottle, larger then expected 👍🏽",G,G,0.306566787835,0.357769092227,0.335664119938,0.05
80,4937640,18984937,5,Yay items received in great condition!,G,G,0.0978353178866,0.817437472475,0.0847272096389,0.72
81,4937640,17704072,1,the eyeliner doesnt even work. like really.,B,B,0.546388952785,0.302591183115,0.1510198641,-0.24
82,4937640,43302631,3,Didth grow in the dark. ,G,G,0.198477056973,0.460277325927,0.3412456171,0.26
83,4149345,13433484,5,Fuss free transaction! Thank you.. 😄😄,G,G,0.0810412478559,0.606220870528,0.312737881616,0.53
84,4937640,43302631,3,Didnt grow in the dark,G,G,0.202023435018,0.44897048826,0.349006076722,0.25
85,4937640,18982022,1,"Pencil unable to be sharpened and breaks easily. However for 20 cents, can't expect much. ",B,B,0.487771635202,0.332831032958,0.17939733184,-0.15
86,4149345,46575057,0,Could I check if the syringes are individually sterile packed?,N,N,0.18609343695,0.240869849965,0.573036713085,0.05
87,4149345,16432934,2,Cannot be lit,B,B,0.436007365166,0.225649423882,0.338343210952,-0.21
88,4149345,16749761,5,very compact and handly.,G,B,0.358134371181,0.31062945127,0.331236177549,-0.05
89,4937640,18986630,1,Very poor product quality - It's really a mini eyelash curler but the heat is not strong enough curl up the eyelashes,B,B,0.680838568703,0.235326870902,0.0838345603959,-0.45
90,4149345,13431842,5,Item received in order.,N,B,0.428554374669,0.291366433153,0.280079192178,-0.14
91,4149345,15250829,3,"Some of the brushes were defective (the hairs were not properly glued and they shed quite alot) but for the price, I don't mind. I'll just have to find a way to make it work. Still a great deal though! 👍",G,G,0.336353657554,0.578721375108,0.0849249673385,0.24
92,4937640,24095331,3,this is so funny because i thought it'd be about the same size as the normal beauty blender but it is smaller than that 😂 so cute!!! plus $0.20 for that cutie???? im coming back for more!!!!  Product quality is ok,G,G,0.127216009273,0.595472940875,0.277311049852,0.47
93,4937640,85958051,5,Alittle loose for me,B,B,0.463829942762,0.211464398724,0.324705658513,-0.25
94,4937640,44190987,2,"Poor product quality - colour is nice but just use the first time, lip gross easily broke into half so can't be used for the 2nd time",B,B,0.686121759595,0.275706911337,0.0381713290675,-0.41
95,4937640,40486732,4,It came broken but seller was kind enough to give me a discount on my next purchase ,G,G,0.337642439609,0.593213022421,0.0691445379702,0.26
96,4937640,94479186,5,Fit well. It will sweat when i put on. ,G,G,0.315100773726,0.387145819733,0.297753406541,0.07
97,4149345,14481479,5,Thx seller,G,G,0.0574564978362,0.898886393004,0.0436571091595,0.84
98,4937640,282750352,2, Poor product quality,B,B,0.943041524314,0.0474477795634,0.00951069612263,-0.9
